key,2,3
27,司掌大海與天空之神,　　「遭遇的巨大鯨魚，擁有著薩維奈織物一般美麗的顏色……但卻是個殘暴可怕的生物。」<hex:02100103><hex:02100103>　　南洋群島上至今仍流傳著關於飛天鯨魚的傳說。其中尤以「肖科莫」這個名字最為出名，而據卡利卡所說，阿羅阿羅島上通常稱呼其為「凱圖嘟凱」，並將其視為神明使者，還特意為它製作了雕像。也就是說摩提夏他們所遭遇的，或許就是這個凱圖嘟凱。摩提夏在了解到這些之後，擔心打倒神明使者會造成什麼不好的影響。對此，卡利卡提議如果有所擔心可以向鯨魚的雕像獻上祈禱，並為摩提夏等人寫下了具體的流程。<hex:02100103>　　先是找到眾神鵰像所在的位置，接著在鯨魚雕像的面前詠唱「跨越水平線的神明啊」，繼而獲得祝福。接下來順時針繞眾神鵰像轉一圈，再逆時針轉一圈，然後在鯨魚雕像面前跳舞，就能完成祈禱儀式了。雖然細節上有些不同，但將自然界的動物視為聖物這點，跟信奉多個神明的薩維奈多少有些相似之處。
28,食毒之魚,　　「因為是很有力量的魚，所以即便是對於身為捕魚人的我來說也是一場惡戰！」<hex:02100103><hex:02100103>　　摩提夏釣到的這條龍梭魚，會將食物中獲得的毒素積蓄在體內，因此不適合食用。但又因不是與生俱來的有毒生物，所以也不是所有個體均不適合食用，還是會有人願意冒著生命危險去挑戰……不，有的煉金術士為了調查其功效，不惜冒著生命危險嘗試未知素材，甚至因此殞命，所以會有人願意吃這種魚也不算奇怪吧。但好在代米爾遺烈鄉保管的煉金素材的圖鑑中有關於這種魚的記錄，我才得以成功避開這種無謀的冒險。<hex:02100103>　　似乎就跟從桓娑鳥的毒腺中獲得的毒液一樣，這種魚積蓄的毒也可以作為煉金素材使用。由於此地有著讓自然資源更加豐富的力量，因此它會吃下各種不同的食物，從而積蓄大量的毒素。而且據卡利卡所說，這種魚可以幫忙吃掉有毒的海藻和小魚等，所以過去的島民們都很感謝它。如果不小心釣到了，會送上感謝的話語，並把它送回到海裡……不知道把它帶回去合不合適呢？
29,算術與秘術的痕跡,　　「滿眼都是綠色，中間如果有一朵紅色的花就會格外顯眼……我正看得投入呢，結果走著走著突然遇見了一個木製的神奇人偶，著實嚇了一跳！」<hex:02100103><hex:02100103>　　距今約100年前，阿羅阿羅島的近海發生了海底火山噴發。這場噴發不僅引發了海嘯，噴出的煙灰長時間遮擋著陽光，導致環境發生了巨變，當時的島民們只能無奈選擇離開了已經居住多年的故鄉。有的船隻雖然倖免於海嘯的襲擊，但也遭到了火山噴髮帶來的大量碎石的阻攔，大大增加了居民離島的難度。<hex:02100103>　　而且阿羅阿羅島上有大量的運用算術的研究記錄和後來成立的秘術有關的魔導書等文獻成果。想將它們全部帶走難度太大，所以包括摩提夏等人之前遭遇的木製人偶「拉拉魯」在內，很多東西都必須要選擇放棄。卡利卡表示，雖然拉拉魯得以保存了下來，但書籍類的東西幾乎都被自然所吞沒，伴隨著歲月的流逝消失得無影無蹤。<hex:02100103>　　雖然目前阿羅阿羅島是個無人島，不過南洋群島上如今還是有一些有人類居住的島嶼。這些島上或許至今依然保留著當初人們逃難時帶走的資料和文獻。
30,聚集在大樹下的人們,　　「雖然薩維奈島上也有大樹，但也沒大到那個份上。那也是受到了讓自然資源更加豐富的力量的影響嗎？」<hex:02100103><hex:02100103>　　那棵巨大的樹在誕生之時就已經存在於阿羅阿羅島了。那周圍聚集了很多志在學習算術的島民，並形成了一個村落。他們試圖通過算術解開神子寶玉擁有的「讓自然資源更加豐富的力量」的秘密，夜以繼日地刻苦鑽研。而作為研究的副產物誕生的，便是刻在大樹上的眾多魔紋。卡利卡提到過其中有種魔紋可以從魔物的血中提取乙太，促進植物生長。據說四隻魔物的血就足以讓大樹的樹枝變長，妥善運用的話或許可以開闢新道路。<hex:02100103>　　不過既然是要調查祭場，那當初為何沒有將擁有寶玉的神子像所在的祭場設為據點呢？在問過卡利卡後了解到，祭場擁有著一種神奇的力量……或許是曾經的島民「被遺忘之民」施加的魔法，造成了那裡長年被濃霧環繞。為了準備出能抑制這種霧的魔具，於是選擇了將大樹作為據點。但或許又因為在那裡的感覺太舒服了，研究結束之後就一直住在大樹裡面了。
31,用愛心對待小小朋友,　　「我原本以為在枝繁葉茂的地方，說不定會有像卡利卡一樣能說人類語言的文鳥，可結果卻沒找到。」<hex:02100103><hex:02100103>　　聽到這話後卡利卡一臉得意地說「能說人類語言的文鳥只有我！」。不過普通的文鳥自古便存在，在阿羅阿羅島更是成為了信仰對象。也當是為了拉近與卡利卡的關係，我詢問了有沒有向文鳥獻上的祈禱，卡利卡勉為其難地教給我。為了避免遺忘，還是記錄一下吧。<hex:02100103>　　找到眾神鵰像所在的位置後，在文鳥的雕像前詠唱「飛舞在空中的神明啊」，就可以獲得祝福。接下來再向文鳥的雕像獻上飛吻，圍繞著眾神鵰像順時針轉一圈，最後在文鳥雕像面前跳舞，就能完成祈禱儀式了。我嘗試著向卡利卡獻上了飛吻，看看是不是真的能得到祝福，結果卡利卡卻深深地嘆了一口氣，把頭轉向了一邊。我明明那麼喜歡卡利卡，那麼用心地照顧它，真是令人痛心。是我為它準備的飯菜不夠美味嗎？還是應該不知疲倦地天天對它獻上飛吻？又或者……（後面全是對卡利卡深沉的愛意）
32,智慧的魚,　　「沒想到居然能從樹上釣到魚……雖然我平時都是海釣，不過釣淡水魚也別有一番風味啊！」<hex:02100103><hex:02100103>　　據卡利卡所說，摩提夏釣上來的是一種名為「霍羅凱羅魚」的品種。過去人們曾將其堅硬的鱗乾燥打磨，用來製作算盤的算珠。不過這種魚用作食材也非常美味，過去的島民們似乎還認為「吃了它可以變得聰明」。也不知道這是真的能讓頭腦變得清晰，還是只是單純因其與算盤有關的緣故，身為煉金術士著實很感興趣。<hex:02100103>　　摩提夏把魚存到我這裡之後，我立刻開始對其進行調查……不過很可惜，從可食用的部分中只能檢測出普通成分，並沒有什麼重要發現。反倒是魚鱗上具有藥效，小心翼翼將其剝下來進行乾燥後可作為煉金素材使用。如果想食用後變得聰明的話，就不要去鱗，整隻烤製然後食用，不過它的鱗實在是太硬了，味道也不好。如果期待藥效的話，可以將鱗製成粉末，然後煉製成藥丸吞服食用。
33,使魔的歷史,　　「那個小仙女把我害得好慘。嗚嗚，我再也不想見到她了！」<hex:02100103><hex:02100103>　　那個小仙女似乎是名為「斯塔緹絲」的獨行使魔。卡利卡對於她的橫行霸道也是感到很頭疼，還曾試圖用奇妙的道具捕獲她。她真是即殘忍又可怕……有沒有什麼辦法可以避開她設的陷阱？<hex:02100103>　　據卡利卡所說，威爾布蘭德島的城邦國家尼姆遭到了第六靈災的毀滅之後，有多位軍事學者逃到了阿羅阿羅島。以史為鑒，身為軍事學者使魔的小仙女來到了島上也是完全有可能的。不過通常來講，主人死後乙太的供給便會被切斷，使魔也將不復存在。但是斯塔緹絲卻可以獨自行動，說明她一定是有什麼供給乙太的手段。這或許也跟「讓自然資源更加豐富的力量」有關係。<hex:02100103>　　順便一提，創造小仙女這類使魔的技術，似乎就是後來的秘術師創造寶石獸的技術的原型。那麼反過來追溯到很久以前生活在島上的被遺忘之民的木像型使魔，便可以深刻感受到歷史的聯繫，著實令人感興趣。
34,信仰的殘留,　　「到達的像是遺跡一樣的地方，可以感受到一股神聖的氛圍。或許這就是阿羅阿羅島的神明們所在的地方……」<hex:02100103><hex:02100103>　　這應該就是類似薩維奈島的眾僧林園中的神我寺一樣的地方……摩提夏說的話引起了無限遐想，不過按照卡利卡所說，那裡其實是阿羅阿羅島的信仰之地。那個遺跡的某處有類似儀式場地的地方，那裡擺放著眾神的雕像。比如海洋生物「海龜」就是作為神聖的存在為人們所敬仰，所以那裡也有「海龜」的雕像。卡利卡提議說，身為捕魚人的摩提夏與大海有緣，因此發現雕像之後向海龜獻上祈禱也不失為一件好事。為了讓摩提夏能順利完成祈禱，我刻意記下了具體的流程。<hex:02100103>　　找到眾神鵰像之後，首先在海龜雕像的面前詠唱「生於陸地投身大海的神明啊」，便可以獲得祝福。隨後繞著眾神鵰像逆時針轉兩圈，最後對著海龜雕像行禮，就能完成祈禱儀式了。<hex:02100103>　　眾神鵰像零星分布在居住地遺址中，或許其排列順序也蘊含著某種意義……總之可以看出，阿羅阿羅島和拉札罕一樣，信仰深深地扎根在人們心中。
35,曾為拉拉菲爾族的魚,　　「感覺釣到了一種很神奇的魚！看上去像是長著一張人類的面龐，非常可愛的傢伙！」<hex:02100103><hex:02100103>　　雖然我也希望今後可以跟摩提夏一直保持好友關係，不過可惜的是，這次我與他意見不合。他在阿羅阿羅島上釣到的魚，老實說我覺得有些可怕。我認為可愛的應該像是卡利卡那樣的孩子，看來我跟摩提夏在可愛的標準上無法做到相互理解。<hex:02100103>　　與舊友之間的可悲的裂痕先暫且不說。按照卡利卡的說法，阿羅阿羅島過去的居民曾將這種神奇的魚稱作拉拉魚。據說是在一個狂風大作的日子裡掉入水中的拉拉菲爾族變成的魚，大人們常跟孩子們講，如果不想變成像它一樣的話，那麼千萬不要在大風天氣裡靠近水邊。如果關於拉拉菲爾族變的這件事萬一是真的，那麼將其作為煉金素材使用多少還是會有所忌憚。雖然我也想相信這是為了讓孩子們老實一點而編出來的故事，不過心情確實複雜。
36,金黃色的回憶,　　「我釣到了在薩維奈島從未見過的金黃色的魚……這肯定就是阿羅阿羅島的釣場之王了！」<hex:02100103><hex:02100103>　　據說過去在阿羅阿羅島上，曾有一段時期在幼兒之間流行過熱病。此時將在祭場釣到的魚製成湯，讓得病的孩子服下，便可快速恢復。而且之後也不會再得同樣的病，可以一直健康茁壯地成長。自那之後，每次島上有新生兒誕生時，人們就會將在祭場釣到的金黃色的貢貝薩魚製成湯，讓嬰兒服下。因為神子像的祭場更容易體現出寶玉的力量，所以推測更能提升這種魚的功效。其作為煉金素材的價值也非常高。<hex:02100103>　　我與摩提夏打小便認識，但或許也有工作不同的原因，我們很少有機會一起完成一件事。所以這次能和他合作，還認識了卡利卡這樣一位可愛的朋友，還有機會分析珍貴的煉金素材，開心的事實在是太多了……這份手記原本只是想著能為摩提夏他們提供點幫助才開始寫的，結果一不留神就寫了整整一本。這都是多虧了卡利卡和摩提夏，還有幫忙實現了造訪阿羅阿羅島的冒險者閣下，真心地感謝你們。
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
